"","lp__","logit_alpha","alpha","logit_alpha_prior","alpha_prior",".chain",".iteration",".draw","true_alpha","nobservations"
"1",-85.0345,-4.16611,0.0152755,1.03848,0.738556,1,1,1,0,104
"2",-84.9031,-3.7985,0.0219134,-1.56319,0.173189,1,2,2,0,104
"3",-85.0124,-3.62282,0.0260125,-0.365783,0.40956,1,3,3,0,104
"4",-84.9522,-3.69774,0.0241804,1.51695,0.820088,1,4,4,0,104
"5",-84.8903,-3.87381,0.020356,-0.966701,0.275539,1,5,5,0,104
"6",-84.9471,-4.06035,0.0169507,-1.21337,0.229106,1,6,6,0,104
"7",-84.8937,-3.92672,0.0193273,-1.04617,0.259961,1,7,7,0,104
"8",-85.1867,-3.47681,0.0299793,-0.403404,0.400495,1,8,8,0,104
"9",-86.5065,-2.9241,0.0509751,-1.16545,0.237678,1,9,9,0,104
"10",-85.3593,-3.37101,0.033214,2.2273,0.902674,1,10,10,0,104
"11",-85.2886,-3.41162,0.0319342,0.635655,0.653771,1,11,11,0,104
"12",-85.7053,-3.20551,0.0389588,-0.594689,0.35556,1,12,12,0,104
"13",-85.5373,-3.28043,0.0362486,0.949718,0.721059,1,13,13,0,104
"14",-86.3246,-2.98026,0.0483257,-0.0110174,0.497246,1,14,14,0,104
"15",-85.1828,-3.47956,0.0298993,-0.531343,0.370204,1,15,15,0,104
"16",-85.3523,-3.3749,0.0330891,0.0672473,0.516805,1,16,16,0,104
"17",-84.8925,-3.91876,0.0194787,-0.297882,0.426075,1,17,17,0,104
"18",-84.8931,-3.84293,0.020981,0.537409,0.63121,1,18,18,0,104
"19",-85.0909,-3.54925,0.027943,-0.279207,0.430648,1,19,19,0,104
"20",-85.5876,-4.51249,0.010852,-1.10792,0.248259,1,20,20,0,104
"21",-85.8468,-3.14813,0.0411652,-0.378132,0.406577,1,21,21,0,104
"22",-86.0973,-3.05592,0.0449625,0.379812,0.593828,1,22,22,0,104
"23",-85.444,-3.32614,0.0346851,0.697227,0.667573,1,23,23,0,104
"24",-86.0393,-4.69772,0.00903372,0.0367622,0.50919,1,24,24,0,104
"25",-86.4875,-4.85096,0.00776015,0.448939,0.610387,1,25,25,0,104
"26",-85.3614,-4.39817,0.0121504,0.0926952,0.523157,1,26,26,0,104
"27",-85.4232,-4.43157,0.0117559,0.369538,0.591347,1,27,27,0,104
"28",-85.3559,-3.37292,0.0331525,1.00881,0.732787,1,28,28,0,104
"29",-85.4456,-3.32536,0.0347114,-0.464987,0.385804,1,29,29,0,104
"30",-85.4015,-3.34821,0.0339538,-0.161188,0.45979,1,30,30,0,104
"31",-85.4199,-3.33856,0.0342717,-0.105079,0.473754,1,31,31,0,104
"32",-85.9922,-3.09333,0.0433834,-1.54718,0.175494,1,32,32,0,104
"33",-90.1454,-5.73352,0.00322522,0.578182,0.640649,1,33,33,0,104
"34",-87.4039,-5.11528,0.00596844,0.0298298,0.507457,1,34,34,0,104
"35",-87.276,-5.08116,0.00617432,0.835418,0.697499,1,35,35,0,104
"36",-87.6357,-5.1754,0.00562217,-0.614983,0.350923,1,36,36,0,104
"37",-87.2854,-5.0837,0.00615879,-0.132729,0.466866,1,37,37,0,104
"38",-87.1382,-5.04352,0.00640965,-0.130218,0.467491,1,38,38,0,104
